Date,HomeTeam,AwayTeam,FTR,HomeAvgGoal_25,AwayAvgGoal_25
2002-01-02,Derby,Fulham,A,1.04,
2002-01-02,Man United,Newcastle,H,2.44,1.48
2002-01-09,Southampton,Liverpool,H,1.2,1.76
2002-01-12,Ipswich,Tottenham,H,1.64,0.88
2002-01-12,West Ham,Leicester,H,1.36,0.68
2002-01-12,Newcastle,Leeds,H,1.48,1.52
2002-01-12,Fulham,Middlesbrough,H,,0.92
2002-01-12,Aston Villa,Derby,H,1.24,0.48
2002-01-12,Bolton,Chelsea,D,,1.36
2002-01-12,Blackburn,Charlton,H,,1.0
2002-01-12,Everton,Sunderland,H,1.52,1.0
2002-01-13,Arsenal,Liverpool,D,2.28,1.6
2002-01-13,Southampton,Man United,A,1.24,1.84
2002-01-19,Derby,Ipswich,A,1.04,1.2
2002-01-19,Leicester,Newcastle,D,1.2,1.4
2002-01-19,Liverpool,Southampton,D,1.8,0.88
